timestamp,demanda_mw,hora,dia_sem,mes,dia_anio,hora_sin,hora_cos,dia_sin,dia_cos,mes_sin,mes_cos,es_finde,es_festivo
2023-01-02 13:00:00,28006.038,14,0,1,2,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,1.0,0,0
2023-01-02 14:00:00,27275.813,15,0,1,2,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.0,1.0,0,0
2023-01-02 15:00:00,26943.275,16,0,1,2,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.0,1.0,0,0
2023-01-02 16:00:00,26949.833,17,0,1,2,-0.9659258262890684,-0.2588190451025206,0.0,1.0,0.0,1.0,0,0
2023-01-02 17:00:00,28128.286,18,0,1,2,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,1.0,0,0
2023-01-02 18:00:00,28734.479,19,0,1,2,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0,1.0,0,0
2023-01-02 19:00:00,29296.874,20,0,1,2,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,0,0
2023-01-02 20:00:00,28913.413,21,0,1,2,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.0,1.0,0,0
2023-01-02 21:00:00,26702.688,22,0,1,2,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,1.0,0,0
2023-01-02 22:00:00,24299.368,23,0,1,2,-0.2588190451025215,0.965925826289068,0.0,1.0,0.0,1.0,0,0
2023-01-02 23:00:00,22585.184,0,1,1,3,0.0,1.0,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 00:00:00,20949.029,1,1,1,3,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 01:00:00,19908.114,2,1,1,3,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 02:00:00,19461.682,3,1,1,3,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 03:00:00,19500.056,4,1,1,3,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 04:00:00,20201.929,5,1,1,3,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 05:00:00,22736.243,6,1,1,3,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 06:00:00,25819.387,7,1,1,3,0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 07:00:00,28108.951,8,1,1,3,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 08:00:00,29545.564,9,1,1,3,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 09:00:00,29902.208,10,1,1,3,0.4999999999999999,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 10:00:00,29702.732,11,1,1,3,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 11:00:00,29399.879,12,1,1,3,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 12:00:00,29376.334,13,1,1,3,-0.2588190451025208,-0.9659258262890684,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 13:00:00,28910.742,14,1,1,3,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 14:00:00,28093.744,15,1,1,3,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 15:00:00,27949.759,16,1,1,3,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 16:00:00,28510.105,17,1,1,3,-0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
